Image;Time(s);Temperature(oC)
GGQT_S6_1-00118;414.3789866538769;134.5230799152046
GGQT_S6_1-00119;415.3789866538769;127.74714491224402
GGQT_S6_1-00120;416.3789866538769;120.30699039576245
GGQT_S6_1-00121;417.3789866538769;114.58559846117724
GGQT_S6_1-00122;418.3789866538769;113.71099400000514
GGQT_S6_1-00123;419.3789866538769;113.72909776177949
GGQT_S6_1-00124;420.3789866538769;114.22104931442927
GGQT_S6_1-00125;421.3789866538769;114.4938700755129
GGQT_S6_1-00126;422.3789866538769;114.41030236833454
GGQT_S6_1-00127;423.3789866538769;114.5412803430109
GGQT_S6_1-00128;424.3789866538769;114.6401546744753
GGQT_S6_1-00129;425.3789866538769;114.88387170399739
GGQT_S6_1-00130;426.3789866538769;114.87151245573502
GGQT_S6_1-00131;427.3789866538769;114.78774611048989
GGQT_S6_1-00132;428.3789866538769;114.89759603719544
GGQT_S6_1-00133;429.3789866538769;114.7682097804885
GGQT_S6_1-00134;430.3789866538769;114.98086611938754
GGQT_S6_1-00135;431.3789866538769;115.13644675830146
GGQT_S6_1-00136;432.3799868198162;114.9342919029291
GGQT_S6_1-00137;433.3789866538769;115.12932982587517
GGQT_S6_1-00138;434.3789866538769;114.98643176311839
GGQT_S6_1-00139;435.3789866538769;115.07235788230919
GGQT_S6_1-00140;436.3789866538769;114.97759752555372
GGQT_S6_1-00141;437.3789866538769;114.96557124562206
GGQT_S6_1-00142;438.3789866538769;115.07969995191047
GGQT_S6_1-00143;462.5829866500622;115.25326270278092
GGQT_S6_1-00144;463.5829866500622;114.83425866645086
GGQT_S6_1-00145;464.5829866500622;114.92322500806178
GGQT_S6_1-00146;465.5829866500622;115.01907658088594
GGQT_S6_1-00147;466.5829866500622;114.9190359540142
GGQT_S6_1-00148;467.5829866500622;114.89105200342415
GGQT_S6_1-00149;468.5829866500622;114.9042707849248
GGQT_S6_1-00150;469.5829866500622;115.03822674317577
GGQT_S6_1-00151;470.5829866500622;115.06218111178708
GGQT_S6_1-00152;471.5829866500622;115.10736630445534
GGQT_S6_1-00153;472.5829866500622;115.02317953626935
GGQT_S6_1-00154;473.5829866500622;115.0487194187743
GGQT_S6_1-00155;474.5839868160015;114.98837741535074
